"id","name","sex","birthday","position","salary","EmploymentStatus","DateEmployed","DateTerminated","Tenure","PrimarySupervisor","SecondarySupervisor","ExternalExperience","ExternalExperienceBonus"
"104","孔靜怡","男","2000-12-25","客服員","50000","在職","2010-02-22","none","14","578","980","4","3000"
"105","李淑芬","女","1964-03-04","會計","54000","在職","2011-03-12","none","13","602","583","10","5000"
"106","王佳玲","女","1985-05-07","技術員","49000","在職","2020-01-01","none","4","197","706","10","5000"
"111","黃淑娟","女","1973-02-17","會計","54000","在職","2012-08-28","none","12","842","547","6","5000"
"117","韋威廷","女","2001-02-11","專案人員","50000","在職","2010-01-28","none","14","948","583","1","1000"
"119","高雅芳","女","2001-07-12","技術員","40000","在職","2023-06-21","none","1","673","197","10","5000"
"123","王雅雯","女","1968-04-26","技術員","42000","在職","2021-06-23","none","3","890","673","1","1000"
"128","蘇怡萱","男","2000-09-06","技術員","38000","離職","2021-05-13","2022-10-31","1","602","842","4","3000"
"160","陳冠宇","男","2002-01-01","特約人員","34000","在職","2022-12-23","none","2","547","48","0","0"
"175","陳信宏","男","2002-08-22","專案人員","37000","在職","2022-09-06","none","2","669","583","0","0"
"182","紀淑貞","男","1999-02-12","行政助理","33000","在職","2022-06-16","none","2","842","192","0","0"
"192","楊怡萱","女","1969-11-24","主管","58000","離職","2020-11-14","2022-12-07","2","972","null","10","5000"
"196","張承翰","男","1995-05-28","客服員","50000","在職","2005-05-05","none","19","669","980","0","0"
"197","姜美玲","女","1991-11-18","小組長","46000","在職","2021-11-30","none","3","972","null","0","0"
"208","陳美玲","男","1976-07-20","技術員","44000","在職","2020-08-12","none","4","48","842","0","0"
"219","李怡安","男","1968-01-17","其他","32000","離職","2023-12-15","2024-02-06","1","508","48","2","2000"
"224","李雅文","女","1965-03-03","行政助理","30000","在職","2023-08-24","none","1","197","602","0","0"
"230","饒家瑜","男","1999-11-11","客服員","41000","在職","2020-12-30","none","4","980","890","0","0"
"231","饒淑惠","男","1998-10-20","特約人員","46000","在職","2018-02-04","none","6","578","583","5","3000"
"240","陶靜怡","男","1999-04-30","測試者","39000","離職","2020-10-23","2023-06-27","3","578","547","0","0"
"264","張怡安","女","1968-05-05","其他","41000","在職","2020-05-05","none","4","673","669","2","2000"
"265","徐志宏","女","1998-09-16","專案人員","46000","在職","2018-01-01","none","6","669","890","0","0"
"266","黃美玲","男","1999-04-27","特約人員","31000","離職","2024-12-19","none","0","980","669","0","0"
"268","陳淑惠","女","2001-07-02","測試者","41000","在職","2022-12-08","none","2","192","890","9","5000"
"281","寇羽","女","1986-12-12","技術員","38000","在職","2022-05-05","none","2","948","673","0","0"
"291","鄧雅萍","男","1997-09-21","客服員","43000","在職","2021-08-12","none","3","669","980","10","5000"
"293","翁嘉玲","女","2000-09-07","專案人員","48000","離職","2015-10-23","2024-01-18","9","669","547","3","2000"
"296","王志偉","男","2001-03-05","技術員","45000","在職","2020-09-22","none","4","192","842","1","1000"
"297","譚信宏","女","2000-04-03","特約人員","46000","在職","2017-02-14","none","7","192","980","4","3000"
"302","王郁雯","男","1984-05-09","會計","42000","在職","2021-06-14","none","3","197","578","2","2000"
"313","包靜怡","女","1990-08-01","客服員","55000","在職","2005-11-20","none","19","706","48","10","5000"
"318","王詩婷","男","2002-06-21","測試者","36000","在職","2022-02-18","none","2","197","669","0","0"
"321","陳嘉玲","女","2000-08-10","測試者","39000","在職","2021-03-02","none","3","48","547","0","0"
"322","農雅文","女","2000-05-05","特約人員","33000","離職","2021-08-31","2021-10-19","0","673","842","3","2000"
"338","楊哲瑋","女","1988-04-22","技術員","53000","在職","2003-05-27","none","21","578","508","0","0"
"354","劉承翰","男","1998-10-07","特約人員","48000","在職","2017-05-10","none","7","890","673","10","5000"
"355","張心怡","男","1974-01-30","專案人員","40000","在職","2021-04-15","none","3","706","48","0","0"
"356","胡家瑜","女","1998-06-10","行政助理","39000","在職","2020-11-29","none","4","48","578","0","0"
"357","吳雅琪","女","1999-10-01","其他","53000","在職","2003-04-07","none","21","48","508","8","5000"
"363","王鈺婷","男","1998-10-11","專案人員","42000","在職","2022-11-27","none","2","669","673","7","5000"
"365","何柏翰","男","1998-12-08","技術員","38000","在職","2022-04-03","none","2","48","197","0","0"
"408","馬馨儀","男","1987-12-10","其他","44000","在職","2020-05-27","none","4","980","192","7","5000"
"422","史威廷","女","2002-07-03","技術員","47000","在職","2018-07-25","none","6","547","48","0","0"
"424","趙怡如","男","1998-10-31","技術員","41000","在職","2022-05-10","none","2","602","706","4","3000"
"426","王佳玲","男","1979-12-21","測試者","36000","離職","2021-07-23","2023-09-12","2","669","508","0","0"
"440","賈家銘","男","1972-11-23","測試者","39000","在職","2022-04-30","none","2","948","706","4","3000"
"445","傅沖","女","1965-08-21","專案人員","37000","在職","2022-08-30","none","2","948","583","0","0"
"465","王俊賢","男","1958-12-19","測試者","47000","在職","2020-01-23","none","4","192","508","10","5000"
"468","康婷婷","男","1991-08-04","其他","33000","離職","2024-03-10","2024-03-14","0","706","842","5","3000"
"470","葉靜怡","男","2000-02-07","專案人員","55000","在職","2004-08-02","none","20","842","673","4","3000"
"478","林宗翰","女","2001-11-21","技術員","47000","離職","2014-01-07","2023-11-28","9","948","508","0","0"
"483","張怡婷","男","1984-01-25","其他","50000","離職","2003-07-09","2015-11-18","12","508","669","6","5000"
"486","李宗翰","女","1998-04-23","技術員","47000","在職","2015-10-13","none","9","602","547","0","0"
"487","李家豪","女","1992-09-16","客服員","44000","在職","2016-01-04","none","8","669","197","0","0"
"489","塗宜君","女","2000-01-16","技術員","50000","在職","2009-04-27","none","15","547","842","0","0"
"495","何雅文","女","1992-04-04","專案人員","39000","在職","2023-12-14","none","1","197","948","7","5000"
"507","陳冠霖","女","2000-07-19","客服員","35000","離職","2020-06-10","2022-09-19","2","948","197","0","0"
"508","魏美琪","男","2000-05-16","小組長","51000","在職","2021-01-03","none","3","972","null","10","5000"
"509","孫佳穎","男","2000-12-26","技術員","47000","在職","2014-05-23","none","10","48","583","0","0"
"510","黨佩君","女","2001-11-02","其他","42000","離職","2020-09-06","2024-08-14","4","578","890","5","3000"
"512","吳淑貞","女","1998-07-21","其他","38000","在職","2021-09-14","none","3","948","197","2","2000"
"517","匡詩婷","女","1977-03-05","測試者","44000","在職","2020-06-16","none","4","980","948","3","2000"
"524","陳家豪","女","2002-02-25","專案人員","54000","在職","2005-11-30","none","19","948","583","2","2000"
"527","蕭依婷","女","1988-04-13","特約人員","48000","在職","2018-11-22","none","6","578","508","10","5000"
"528","王筱涵","女","1999-11-17","技術員","47000","在職","2016-11-05","none","8","602","706","0","0"
"534","崔彥廷","男","1963-09-18","客服員","40000","在職","2021-08-17","none","3","602","669","2","2000"
"547","鄭俊宏","女","1968-10-26","小組長","48000","在職","2022-09-02","none","2","972","null","6","5000"
"551","徐庭瑋","男","2001-11-21","測試者","48000","離職","2005-02-07","2019-11-09","14","602","669","0","0"
"557","丁琬婷","男","1999-02-22","特約人員","40000","離職","2004-04-04","2007-11-08","3","547","602","4","3000"
"565","何雅琪","男","1990-05-21","測試者","38000","離職","2021-05-03","2022-06-11","1","602","48","8","5000"
"571","樊郁婷","女","2002-08-17","特約人員","49000","在職","2005-12-25","none","19","842","602","0","0"
"578","劉建宏","男","1978-11-09","小組長","59000","在職","2006-09-04","none","18","972","null","1","1000"
"583","何雅惠","男","2002-06-06","小組長","51000","在職","2021-02-28","none","3","19","null","7","5000"
"602","李威廷","男","1961-11-07","小組長","45000","離職","2023-06-11","2024-03-28","1","972","null","8","5000"
"604","岑婷婷","女","1988-05-07","技術員","55000","離職","2009-08-29","2023-06-22","14","706","890","8","5000"
"620","林哲瑋","女","1989-02-26","技術員","38000","在職","2022-08-09","none","2","508","706","0","0"
"626","董惠雯","女","1976-11-23","專案人員","46000","在職","2020-08-25","none","4","547","578","5","3000"
"628","王龍","女","1993-04-10","客服員","32000","離職","2023-06-29","2024-04-08","1","890","578","0","0"
"642","黃俊傑","男","1989-02-27","測試者","39000","在職","2021-11-16","none","3","890","547","0","0"
"645","石雅涵","男","2000-07-26","技術員","47000","離職","2015-06-27","2024-02-19","9","673","602","0","0"
"648","傅怡婷","女","1973-01-12","專案人員","48000","離職","2019-12-05","2023-01-15","4","669","980","7","5000"
"654","鐘依婷","女","1993-08-08","客服員","32000","在職","2024-06-19","none","0","842","980","0","0"
"662","陳鈺婷","男","1999-06-24","行政助理","53000","在職","2005-07-21","none","19","192","706","9","5000"
"664","張冠廷","男","1988-05-18","技術員","41000","離職","2012-12-22","2015-01-16","3","48","197","0","0"
"667","金彥廷","女","1983-07-31","技術員","46000","離職","2010-12-16","2015-11-11","5","890","948","2","2000"
"668","蒲雅涵","女","1964-01-07","特約人員","34000","離職","2022-03-29","2024-07-02","2","842","673","0","0"
"669","李宜庭","男","1998-08-22","小組長","55000","離職","2003-05-17","2017-08-07","14","19","null","0","0"
"672","胥冠宇","女","1993-03-17","專案人員","45000","在職","2020-01-28","none","4","508","192","2","2000"
"673","何承翰","女","1998-05-08","小組長","42000","離職","2021-12-18","2022-04-10","1","19","null","3","2000"
"675","張志偉","女","2001-01-25","技術員","46000","在職","2021-08-11","none","3","578","192","6","5000"
"676","白哲瑋","女","1993-06-07","技術員","40000","離職","2015-04-29","2015-06-09","0","197","980","10","5000"
"680","劉琬婷","男","1967-02-14","其他","51000","在職","2004-09-26","none","20","673","980","5","3000"
"685","王冠廷","男","1963-07-23","技術員","37000","在職","2024-07-23","none","0","842","547","3","2000"
"689","吳庭瑋","女","1995-09-26","客服員","44000","離職","2020-01-30","2024-05-12","4","948","669","5","3000"
"690","張怡婷","女","2000-06-22","特約人員","43000","在職","2020-06-21","none","4","508","197","5","3000"
"695","彭建宏","女","1997-10-31","專案人員","52000","在職","2008-01-19","none","16","980","508","0","0"
"700","鄺怡婷","女","1962-08-12","客服員","36000","離職","2015-10-22","2017-01-11","2","948","890","1","1000"
"706","徐欣怡","男","2000-10-04","小組長","43000","離職","2007-10-19","2009-05-17","2","972","null","0","0"
"709","石怡安","男","1989-01-19","行政助理","35000","離職","2022-05-03","2024-03-13","2","192","669","2","2000"
"712","全詩婷","男","1981-02-20","客服員","35000","離職","2020-11-18","2022-07-03","2","669","980","0","0"
"728","王靜怡","男","1996-12-20","測試者","33000","離職","2022-10-14","2023-10-17","1","980","602","0","0"
"746","王淑娟","女","2001-04-27","客服員","51000","在職","2004-09-18","none","20","192","706","1","1000"
"748","林詩婷","男","1996-04-18","客服員","49000","在職","2016-12-23","none","8","602","192","6","5000"
"755","史惠雯","女","2000-12-26","行政助理","35000","在職","2022-08-18","none","2","842","192","2","2000"
"758","王慧君","男","1979-10-29","會計","42000","在職","2022-05-04","none","2","547","890","8","5000"
"765","聶雅雯","男","2001-05-08","特約人員","45000","在職","2018-12-14","none","6","583","197","2","2000"
"770","陳懿","女","1998-01-28","技術員","47000","在職","2016-07-02","none","8","583","706","0","0"
"784","楊靜宜","男","2002-02-27","測試者","53000","在職","2010-02-24","none","14","602","578","10","5000"
"785","郭宗翰","男","1986-02-20","客服員","42000","在職","2020-11-23","none","4","842","602","1","1000"
"803","陳琬婷","女","1985-12-26","測試者","38000","離職","2022-09-09","2024-05-14","2","842","673","3","2000"
"805","宋承翰","男","1986-07-15","技術員","39000","離職","2022-02-20","2024-07-27","2","197","508","1","1000"
"811","胡家瑜","女","1984-11-02","測試者","53000","在職","2005-11-12","none","19","583","948","2","2000"
"812","何冠宇","女","1990-08-17","技術員","46000","在職","2020-06-18","none","4","948","980","2","2000"
"817","李佩君","男","2001-06-02","技術員","38000","在職","2024-07-02","none","0","192","980","4","3000"
"834","陳淑玲","男","1998-02-26","技術員","50000","離職","2005-04-08","2011-07-27","6","578","980","5","3000"
"835","李俊宏","男","1999-05-17","測試者","40000","在職","2021-07-15","none","3","197","980","1","1000"
"840","梁依婷","女","1998-08-26","專案人員","43000","在職","2020-11-25","none","4","669","197","0","0"
"842","王淑芬","男","2000-03-03","小組長","49000","在職","2020-08-07","none","4","972","null","0","0"
"846","楊俊賢","女","1998-02-08","技術員","47000","在職","2019-07-06","none","5","197","673","5","3000"
"852","王怡伶","女","1993-12-19","技術員","46000","離職","2021-07-23","2024-08-02","3","197","842","6","5000"
"853","陳信宏","男","1985-03-16","技術員","40000","離職","2023-10-06","2024-06-14","1","508","197","10","5000"
"856","牟雅玲","男","1997-10-02","技術員","47000","在職","2018-05-06","none","6","508","578","0","0"
"865","黃雅涵","男","2001-03-01","測試者","34000","離職","2020-07-12","2021-09-14","1","578","197","1","1000"
"882","劉雅玲","男","1999-09-26","技術員","41000","離職","2019-12-06","2022-09-01","3","602","980","0","0"
"884","田俊賢","男","2001-05-20","其他","45000","在職","2009-09-14","none","15","48","578","0","0"
"887","農彥廷","男","1998-06-16","技術員","53000","在職","2005-04-29","none","19","602","948","0","0"
"890","許彥廷","女","2000-11-15","小組長","55000","在職","2017-07-12","none","7","19","null","5","3000"
"892","遲淑華","女","1998-04-20","測試者","47000","離職","2005-07-09","2012-11-19","7","948","980","3","2000"
"903","王惠婷","女","1962-09-30","技術員","43000","在職","2022-07-01","none","2","706","673","7","5000"
"915","賈雅雯","男","1999-08-31","技術員","53000","在職","2012-12-09","none","12","192","547","5","3000"
"927","梁庭瑋","女","2002-08-03","測試者","47000","在職","2020-07-07","none","4","706","578","10","5000"
"942","雷建宏","男","1997-04-27","測試者","42000","在職","2020-05-21","none","4","602","583","0","0"
"947","朱信宏","女","1993-11-14","其他","35000","在職","2024-05-06","none","0","706","948","6","5000"
"948","馬羽","女","1961-04-02","小組長","46000","在職","2022-01-25","none","2","972","null","4","3000"
"951","劉冠廷","女","1971-12-04","技術員","35000","離職","2024-02-22","2024-04-10","0","508","547","0","0"
"954","曾淑惠","女","2000-12-04","技術員","44000","在職","2021-10-27","none","3","197","842","4","3000"
"955","王嘉玲","女","1985-09-06","技術員","53000","離職","2003-08-20","2020-10-16","17","673","547","0","0"
"957","吳雅婷","男","1964-07-07","其他","42000","在職","2020-08-25","none","4","48","583","5","3000"
"969","葉彥廷","女","1994-06-15","特約人員","46000","離職","2008-01-07","2023-04-15","15","547","890","0","0"
"970","王家瑋","男","1997-10-18","其他","33000","在職","2022-01-14","none","2","547","578","0","0"
"972","湯佩君","女","1993-06-25","經理","60000","離職","2021-02-17","2021-07-11","0","null","null","0","0"
"977","蔡婉婷","男","1993-09-30","技術員","35000","離職","2018-09-01","2018-12-26","0","706","508","0","0"
"980","蔡懿","男","1997-05-31","小組長","40000","離職","2024-08-12","2024-08-17","0","19","null","0","0"
